,State,Population Type,Year,Month,Electricity Price,Gas Price
0,TX,Rural,2017,Jan,10.49,2.139
1,TX,Rural,2017,Feb,10.49,2.083
2,TX,Rural,2017,Mar,10.49,2.089
3,TX,Rural,2017,Apr,10.49,2.195
4,TX,Rural,2017,May,10.49,2.187
5,TX,Rural,2017,Jun,10.49,2.149
6,TX,Rural,2017,Jul,10.49,2.068
7,TX,Rural,2017,Aug,10.49,2.166
8,TX,Rural,2017,Sep,10.49,2.515
9,TX,Rural,2017,Oct,10.49,2.322
10,TX,Rural,2017,Nov,10.49,2.288
11,TX,Rural,2017,Dec,10.49,2.218
12,TX,Rural,2018,Jan,10.44,2.301
13,TX,Rural,2018,Feb,10.44,2.33
14,TX,Rural,2018,Mar,10.44,2.331
15,TX,Rural,2018,Apr,10.44,2.487
16,TX,Rural,2018,May,10.44,2.662
17,TX,Rural,2018,Jun,10.44,2.691
18,TX,Rural,2018,Jul,10.44,2.615
19,TX,Rural,2018,Aug,10.44,2.593
20,TX,Rural,2018,Sep,10.44,2.583
21,TX,Rural,2018,Oct,10.44,2.596
22,TX,Rural,2018,Nov,10.44,2.35
23,TX,Rural,2018,Dec,10.44,2.023
24,TX,Rural,2019,Jan,10.24,1.911
25,TX,Rural,2019,Feb,10.24,2.007
26,TX,Rural,2019,Mar,10.24,2.238
27,TX,Rural,2019,Apr,10.24,2.48
28,TX,Rural,2019,May,10.24,2.5
29,TX,Rural,2019,Jun,10.24,2.362
30,TX,Rural,2019,Jul,10.24,2.436
31,TX,Rural,2019,Aug,10.24,2.335
32,TX,Rural,2019,Sep,10.24,2.285
33,TX,Rural,2019,Oct,10.24,2.282
34,TX,Rural,2019,Nov,10.24,2.246
35,TX,Rural,2019,Dec,10.24,2.227
36,TX,Rural,2020,Jan,10.37,2.237
37,TX,Rural,2020,Feb,10.37,2.106
38,TX,Rural,2020,Mar,10.37,1.949
39,TX,Rural,2020,Apr,10.37,1.559
40,TX,Rural,2020,May,10.37,1.51
41,TX,Rural,2020,Jun,10.37,1.748
42,TX,Rural,2020,Jul,10.37,1.86
43,TX,Rural,2020,Aug,10.37,1.84
44,TX,Rural,2020,Sep,10.37,1.84
45,TX,Rural,2020,Oct,10.37,1.816
46,TX,Rural,2020,Nov,10.37,1.747
47,TX,Rural,2020,Dec,10.37,1.863
48,TX,Rural,2021,Jan,10.77,2.011
49,TX,Rural,2021,Feb,10.77,2.187
50,TX,Rural,2021,Mar,10.77,2.535
51,TX,Rural,2021,Apr,10.77,2.551
52,TX,Rural,2021,May,10.77,2.668
53,TX,Rural,2021,Jun,10.77,2.721
54,TX,Rural,2021,Jul,10.77,2.81
55,TX,Rural,2021,Aug,10.77,2.802
56,TX,Rural,2021,Sep,10.77,2.79
57,TX,Rural,2021,Oct,10.77,2.912
58,TX,Rural,2021,Nov,10.77,2.991
59,TX,Rural,2021,Dec,10.77,2.88
60,WA,Rural,2017,Jan,9.37,3.908
61,WA,Rural,2017,Feb,9.37,3.908
62,WA,Rural,2017,Mar,9.37,3.908
63,WA,Rural,2017,Apr,9.37,3.908
64,WA,Rural,2017,May,9.37,3.908
65,WA,Rural,2017,Jun,9.37,3.908
66,WA,Rural,2017,Jul,9.37,3.908
67,WA,Rural,2017,Aug,9.37,3.908
68,WA,Rural,2017,Sep,9.37,3.908
69,WA,Rural,2017,Oct,9.37,3.908
70,WA,Rural,2017,Nov,9.37,3.908
71,WA,Rural,2017,Dec,9.37,3.908
72,WA,Rural,2018,Jan,9.53,3.908
73,WA,Rural,2018,Feb,9.53,3.908
74,WA,Rural,2018,Mar,9.53,3.908
75,WA,Rural,2018,Apr,9.53,3.908
76,WA,Rural,2018,May,9.53,3.908
77,WA,Rural,2018,Jun,9.53,3.908
78,WA,Rural,2018,Jul,9.53,3.908
79,WA,Rural,2018,Aug,9.53,3.908
